epoch,Train_loss,Test_loss,Train_f1_score,Test_f1_score
1,0.12272156774997711,0.1400032341480255,0.42515880638085884,0.5092034337068395
2,0.1054970994591713,0.08740811794996262,0.5037059861216013,0.4982365205645042
3,0.10446509718894958,0.06722752749919891,0.5366581744828743,0.5512395126230974
4,0.09882546216249466,0.12381447106599808,0.5570341168050641,0.5616405890234559
5,0.11804444342851639,0.16312947869300842,0.5654399208234752,0.5652563264034345
6,0.0858708992600441,0.24967718124389648,0.5727857900451441,0.5269015523630106
7,0.10428986698389053,0.13614091277122498,0.5826970897840936,0.5740825786643967
8,0.06731308251619339,0.11500965803861618,0.5861012065111717,0.5787672519964121
9,0.061958327889442444,0.12956219911575317,0.5922259150570514,0.5891356154619358
10,0.10536198318004608,0.11229891330003738,0.5991118151665615,0.5299418714456414
11,0.0952911376953125,0.11287026107311249,0.6002223868514502,0.583351788643423
12,0.09163720905780792,0.09441552311182022,0.609250892367748,0.5392021989070556
13,0.07245644927024841,0.1153884083032608,0.6039131622358224,0.5391833954068779
14,0.09958485513925552,0.08801032602787018,0.6094898910320082,0.5500845922628825
15,0.09841558337211609,0.09264404326677322,0.6052211863737273,0.5655115953934226
16,0.08380961418151855,0.12716548144817352,0.6130284089974268,0.576309699341876
17,0.1154087483882904,0.0776146724820137,0.6190258809676714,0.5677351821739504
18,0.03348328173160553,0.13878133893013,0.625037886691231,0.5690799416619986
19,0.03812030702829361,0.08527794480323792,0.6257685323302955,0.5672526626645626
20,0.09404554963111877,0.1260758638381958,0.6314120868380634,0.5701061123041429
21,0.08454901725053787,0.10537119954824448,0.6291497079637643,0.5753656788253655
22,0.057726193219423294,0.11968308687210083,0.6306314965399595,0.5703165349341524
23,0.08748864382505417,0.10584305971860886,0.6319355555531208,0.5627016540392521
24,0.09999707341194153,0.12236664444208145,0.6315694356294477,0.534076373434938
25,0.08232211321592331,0.08135273307561874,0.6123753920967105,0.5808382595309672
